address,name,symbol,decimals
0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,USD Coin (Arb1),USDC,6
0x5979d7b546e38e414f7e9822514be443a4800529,Wrapped liquid staked Ether 2.0,wstETH,18
0xaf88d065e77c8cc2239327c5edb3a432268e5831,USD Coin,USDC,6
0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,USDe,USDe,18
0xfa7f8980b0f1e64a2062791cc3b0871572f1f7f0,Uniswap,UNI,18
0x1b896893dfc86bb67cf57767298b9073d2c1ba2c,PancakeSwap Token,Cake,18
0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,Wrapped BTC,WBTC,8
0x912ce59144191c1204e64559fe8253a0e49e6548,Arbitrum,ARB,18
0x0fbcbaea96ce0cf7ee00a8c19c3ab6f5dc8e1921,Wrapped liquid staked Ether 2.0,wstETH,18
0xf97f4df75117a78c1a5a0dbb814af92458539fb4,ChainLink Token,LINK,18
0x211cc4dd073734da055fbf44a2b4667d5e5fe5d2,Staked USDe,sUSDe,18
0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USD₮0,USD₮0,6
0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USD₮0,USDT,6
0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USD₮0,USDT0,6
0x82af49447d8a07e3bd95bd0d56f35241523fbab1,Wrapped Ether,WETH,18
