address,name,symbol,decimals
0x9e5a52f57b3038f1b8eee45f28b3c1967e22799c,Uniswap,UNI,18
0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,USD Coin,USDC,6
0x8ebaf22b6f053dffeaf46f4dd9efa95d89ba8580,Uniswap,UNI.e,18
0x50b7545627a5162f82a992c33b87adc75187b218,Wrapped BTC,WBTC.e,8
0x63a72806098bd3d9520cc43356dd78afe5d386d9,Aave Token,AAVE.e,18
0xd501281565bf7789224523144fe5d98e8b28f267,1INCH Token,1INCH.e,18
0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,Uniswap,UNI,18
0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7,TetherToken,USDt,6
0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7,TetherToken,USD₮0,6
0x5947bb275c521040051d82396192181b413227a3,Chainlink Token,LINK.e,18
0xc7198437980c041c805a1edcba50c1ce5db95118,Tether USD,USDT.e,6
0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,Wrapped Ether,WETH.e,18
0x152b9d0fdc40c096757f570a51e494bd4b943e50,Bitcoin,BTC.b,8
0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,USD Coin,USDC.e,6
0xe50fa9b3c56ffb159cb0fca61f5c9d750e8128c8,Aave Avalanche WETH,aAvaWETH,18
