address,name,symbol,decimals
0xb8c77482e45f1f44de1745f52c74426c631bdd52,BNB,BNB,18
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18
0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,6
0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USD₮0,6
0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT0,6
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,Wrapped BTC,WBTC,8
0xb50721bcf8d664c30412cfbc6cf7a15145234ad1,Arbitrum,ARB,18
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,6
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,Wrapped liquid staked Ether 2.0,wstETH,18
0x514910771af9ca656af840dff83e8264ecf986ca,ChainLink Token,LINK,18
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,USDe,USDe,18
0x45804880de22913dafe09f4980848ece6ecbaf78,Paxos Gold,PAXG,18
0xae7ab96520de3a18e5e111b5eaab095312d7fe84,Liquid staked Ether 2.0,stETH,18
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18
0x163f8c2467924be0ae7b5347228cabf260318753,Worldcoin,WLD,18


