address,name,symbol,decimals
0x1f32b1c2345538c0c6f582fcb022739c4a194ebb,Wrapped liquid staked Ether 2.0,wstETH,18
0x68f180fcce6836688e9084f035309e29bf0a2095,Wrapped BTC,WBTC,8
0x211cc4dd073734da055fbf44a2b4667d5e5fe5d2,Staked USDe,sUSDe,18
0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18
0x350a791bfc2c21f9ed5d10980dad2e2638ffa7f6,ChainLink Token,LINK,18
0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,USDe,USDe,18
0x4200000000000000000000000000000000000042,Optimism,OP,18
0x7f5c764cbc14f9669b88837ca1490cca17c31607,USD Coin,USDC,6
0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,Tether USD,USDT,6
0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,Tether USD,USD₮0,6
0x0b2c639c533813f4aa9d7837caf62653d097ff85,USD Coin,USDC,6
0xdc6ff44d5d932cbd77b52e5612ba0529dc6226f1,Worldcoin,WLD,18
