address,name,symbol,decimals
0xa2036f0538221a77a3937f1379699f44945018d0,Matic Token,MATIC,18
0x1e4a5963abfd975d8c9021ce480b42188849d41d,Tether USD,USDT,6
0x1e4a5963abfd975d8c9021ce480b42188849d41d,Tether USD,USDT0,6
0x1e4a5963abfd975d8c9021ce480b42188849d41d,Tether USD,USD₮0,6
0x68791cfe079814c46e0e25c19bcc5bfc71a744f7,Aave Token,AAVE,18
0xea034fb02eb1808c2cc3adbc15f447b93cbe08e1,Wrapped BTC,WBTC,8
0x4f9a0e7fd2bf6067db6994cf12e4495df938e6e9,Wrapped Ether,WETH,18
0x4b16e4752711a7abec32799c976f3cefc0111f2b,ChainLink Token,LINK,18
0xc5015b9d9161dca7e18e32f6f25c4ad850731fd4,Dai Stablecoin,DAI,18
0x22b21beddef74fe62f031d2c5c8f7a9f8a4b304d,Polygon Ecosystem Token,POL,18
0x0d1e753a25ebda689453309112904807625befbe,PancakeSwap Token,Cake,18
0xa8ce8aee21bc2a48a5ef670afcc9274c7bbbc035,USD Coin,USDC,6
0x37eAA0eF3549a5Bb7D431be78a3D99BD360d19e5,USD Coin,USDC,6
